game_id,novelty_play,play_seq,recent_similar_game_id,recent_similar_play_seq
CHA199508150,5,"BB, 8, K, 43, K",NY1195409050,"BB, 8, K, 43, 9"
CIN199508150,4,"4, 4, 9, 2B",NYA197404260,"4, 4, 9, 3B"
DET199508150,5,"63, 63, 1B, 4, 9",BOS196008240,"63, 63, 1B, 4, BB"
HOU199508150,4,"53, 1B, 36(1), HR",BOS197409070,"53, 1B, 36(1), 43"
KCA199508150,4,"4, 43, K, 5",HOU199309050,"4, 43, K, 1B"
LAN199508150,4,"53, 2B, 2B, 2B",NYN198809020,"53, 2B, 2B, 7(B)72(3)"
MIN199508150,4,"31, BB, BB, K",NYA199309010,"31, BB, BB, 4(1)3"
NYN199508150,5,"3, 1B, BB, HR, 1B",SLN196405030,"3, 1B, BB, HR, 5"
SDN199508150,6,"53, 63, K, 63, 1B, 63",FLO199506300,"53, 63, K, 63, 1B, SB2"
SFN199508150,4,"8, 9, 2, 2B",OAK197807160,"8, 9, 2, 1B"
TEX199508150,4,"2B, 9, 3, 1B",OAK199507030,"2B, 9, 3, 8"
ATL199508160,6,"BB, 9, SB2, BB, 1B, BB",CLE198707070,"BB, 9, SB2, BB, 1B, 7"
BAL199508160,5,"1B, 43, K, 1B, 3",BAL199109070,"1B, 43, K, 1B, BB"
BOS199508160,5,"9, BB, 8, 46(1), 43",WS2196206160,"9, BB, 8, 46(1), K"
CHA199508160,5,"E4, K, K, BB, K",NYA199208090,"E4, K, K, BB, 3"
CIN199508160,4,"2B, 13, FC;O, BB",CIN198109300,"2B, 13, FC;O, 9"
DET199508160,6,"1B, SB2, K, 8, K, 1B",MIN199006090,"1B, SB2, K, 8, K, K"
HOU199508160,5,"7, 43, 1B, WP, K",CAL196908170,"7, 43, 1B, WP, BB"
KCA199508160,5,"7, 63, BB, 1B, 63",SFN199004250,"7, 63, BB, 1B, 43"
LAN199508160,5,"63, 8, 53, 7, 1B",KCA198804080,"63, 8, 53, 7, K"
MIN199508160,5,"8, 1B, 54(1), K, K",BAL196306080,"8, 1B, 54(1), K, 53"
NYN199508160,3,"1B, POCS2, 6",NYN199507310,"1B, POCS2, 63"
SDN199508160,5,"63, BB, 63, 3, 7",PHA191709060,"63, BB, 63, 3, 1B"
SFN199508160,6,"7, 1B, 8, K, 2B, HBP",TEX197608060,"7, 1B, 8, K, 2B, 5"
TEX199508160,5,"K, 8, 7, 3, K",OAK199006090,"K, 8, 7, 3, BB"
BAL199508170,5,"2, K, 1B, 1B, 3",PHI196408202,"2, K, 1B, 1B, K"
CAL199508170,7,"K, 8, 1B, 1B, 8, K, 8",CHN196905110,"K, 8, 1B, 1B, 8, K, E5"
CHA199508170,5,"2B, 53, 63, 1B, BB",MIN198004220,"2B, 53, 63, 1B, 54(1)"
CIN199508170,4,"2B, 1B, K, 3",BOS199506100,"2B, 1B, K, BB"
CLE199508170,5,"43, K, 53, 43, 13",KCA198505280,"43, K, 53, 43, 9"
COL199508170,4,"8, 63, 1B, 4",NYN199507130,"8, 63, 1B, 8"
DET199508170,4,"2B, 53, 3, 4",SLN198109110,"2B, 53, 3, 8"
HOU199508170,3,"6, 2B, 41",CLE199406130,"6, 2B, BB"
OAK199508170,5,"E5, 8, 1B, BB, 46(1)",KCA196909230,"E5, 8, 1B, BB, 1B"
CAL199508180,5,"BB, 1B, 36(1), 1B, SF9",TOR198609190,"BB, 1B, 36(1), 1B, PB"
CHA199508180,5,"4, K, K, 7, 9",MIL199106160,"4, K, K, 7, 3B"
CIN199508180,5,"63, 8, 9, K, BB",CHN196007260,"63, 8, 9, K, 63"
